Date,Close/Last,Volume,Open,High,Low
02/14/2023,$229.71,67547350,$215.78,$230.488,$213.66
02/13/2023,$217.88,47491860,$215.38,$220.48,$209.62
02/10/2023,$212.65,55073680,$216.90,$220.7764,$208.11
02/09/2023,$223.37,52387580,$226.06,$230.20,$221.20
02/08/2023,$222.05,55965120,$223.87,$228.78,$220.0801
02/07/2023,$221.73,66414960,$213.82,$222.59,$211.50
02/06/2023,$210.89,45219710,$208.06,$215.70,$207.86
02/03/2023,$211.00,42936600,$210.00,$217.4499,$207.89
02/02/2023,$217.09,56427580,$210.00,$219.49,$207.00
02/01/2023,$209.43,66047700,$196.91,$211.92,$196.11
01/31/2023,$195.37,49801660,$191.695,$196.87,$189.50
01/30/2023,$191.62,48861120,$199.50,$201.40,$191.50
01/27/2023,$203.65,54214200,$194.62,$206.28,$194.05
01/26/2023,$198.02,48953540,$197.01,$201.66,$192.78
01/25/2023,$193.23,44953710,$189.125,$193.70,$185.80
01/24/2023,$192.65,49620410,$188.27,$194.95,$188.20
01/23/2023,$191.93,65516260,$180.64,$192.45,$178.175
01/20/2023,$178.39,56496710,$170.11,$178.56,$168.25
01/19/2023,$167.65,45293160,$170.36,$171.97,$167.31
01/18/2023,$173.77,43962360,$176.67,$178.73,$172.82
01/17/2023,$177.02,51110220,$168.99,$177.28,$168.99
01/13/2023,$168.99,44728710,$162.78,$169.22,$161.65
01/12/2023,$165.11,55140910,$161.00,$166.37,$154.92
01/11/2023,$160.01,35328490,$158.395,$160.28,$155.63
01/10/2023,$159.09,38410130,$155.07,$159.6199,$154.72
01/09/2023,$156.28,50423060,$152.84,$160.56,$151.41
01/06/2023,$148.59,40504360,$144.74,$150.10,$140.34
01/05/2023,$142.65,38916810,$144.91,$145.64,$141.4795
01/04/2023,$147.49,43132360,$145.67,$148.53,$142.41
01/03/2023,$143.15,40127660,$148.51,$149.96,$140.96
12/30/2022,$146.14,31048980,$143.34,$146.2899,$142.33
12/29/2022,$146.03,35492320,$144.02,$146.83,$142.27
12/28/2022,$140.36,35106650,$139.27,$142.62,$138.84
12/27/2022,$141.21,46490230,$150.74,$151.00,$140.56
12/23/2022,$152.06,34932560,$151.96,$153.39,$148.83
12/22/2022,$153.39,56504530,$160.935,$161.38,$148.82
12/21/2022,$165.01,32502540,$161.14,$166.27,$161.02
12/20/2022,$160.85,40325980,$160.64,$163.10,$158.52
12/19/2022,$162.54,35403880,$165.72,$166.09,$161.45
12/16/2022,$165.71,47823190,$168.642,$170.41,$164.10
12/15/2022,$169.52,47854210,$171.46,$173.20,$167.00
12/14/2022,$176.74,49688810,$179.87,$182.52,$174.20
12/13/2022,$180.72,65658880,$185.31,$187.90,$177.11
12/12/2022,$175.35,45732780,$170.37,$175.38,$167.97
12/09/2022,$170.01,46533820,$171.60,$175.83,$169.75
12/08/2022,$171.69,51545550,$162.73,$171.79,$159.59
12/07/2022,$161.20,37238760,$157.72,$161.86,$156.67
12/06/2022,$159.87,35269430,$165.30,$165.73,$158.19
12/05/2022,$166.10,35225520,$166.79,$169.95,$164.7201
12/02/2022,$168.76,37138860,$166.59,$169.3257,$164.45
12/01/2022,$171.35,47097660,$169.99,$172.65,$166.35
11/30/2022,$169.23,56529820,$156.97,$169.30,$155.97
11/29/2022,$156.39,29838450,$158.27,$159.32,$155.20
11/28/2022,$158.27,30415200,$160.26,$163.57,$157.25
11/25/2022,$162.70,16793430,$163.18,$164.87,$161.72
11/23/2022,$165.19,42724090,$160.98,$165.27,$160.4801
11/22/2022,$160.38,47286610,$153.28,$160.5757,$151.216
11/21/2022,$153.17,40473930,$151.47,$154.77,$150.80
11/18/2022,$154.09,49207170,$159.66,$160.02,$151.2001
11/17/2022,$156.77,71089360,$157.15,$162.66,$155.35
11/16/2022,$159.10,64954680,$161.615,$163.62,$158.73
11/15/2022,$166.66,54587550,$167.215,$169.98,$163.82
11/14/2022,$162.95,52785250,$162.18,$165.40,$159.22
11/11/2022,$163.27,65548750,$158.075,$163.89,$154.82
11/10/2022,$157.50,70081930,$148.00,$157.73,$145.47
11/09/2022,$137.76,45441370,$141.615,$142.11,$137.5901
11/08/2022,$146.02,59529200,$148.01,$148.9101,$142.16
11/07/2022,$143.01,41006100,$142.28,$144.12,$139.54
11/04/2022,$141.56,61257590,$139.86,$142.29,$136.97
11/03/2022,$134.21,50006490,$130.43,$137.81,$129.56
11/02/2022,$132.19,67262780,$138.50,$142.10,$132.1124
11/01/2022,$135.43,43281690,$138.11,$139.25,$135.19
10/31/2022,$134.97,48634100,$137.78,$138.38,$132.97
10/28/2022,$138.34,52103990,$131.04,$138.50,$130.61
10/27/2022,$131.76,58311310,$136.30,$138.38,$131.22
